Channel,Date,New fans,Region,Fans
Instagram,23/12/2014 0:00,6,Singapore,3947
Twitter,23/12/2014 0:00,0,Australia,4633
Twitter,23/12/2014 0:00,-19,India,9789
Twitter,23/12/2014 0:00,-62,Indonesia,104020
Twitter,23/12/2014 0:00,3,Malaysia,4484
Twitter,23/12/2014 0:00,-1,New Zealand,4873
Twitter,23/12/2014 0:00,2,Philippines,2552
Twitter,23/12/2014 0:00,0,Singapore,315
Facebook,24/12/2014 0:00,10,Australia,111820
Facebook,24/12/2014 0:00,219,India,339759
Facebook,24/12/2014 0:00,42,Indonesia,289000
Facebook,24/12/2014 0:00,46,Malaysia,210590
Facebook,24/12/2014 0:00,27,New Zealand,28193
Facebook,24/12/2014 0:00,12,Philippines,50480
Facebook,24/12/2014 0:00,7,Singapore,86471
Instagram,24/12/2014 0:00,14,Australia,16834
Instagram,24/12/2014 0:00,33,India,13885
Instagram,24/12/2014 0:00,63,Indonesia,36684
Instagram,24/12/2014 0:00,-2,Malaysia,7924
Instagram,24/12/2014 0:00,9,New Zealand,1620
Instagram,24/12/2014 0:00,9,Singapore,3956
Twitter,24/12/2014 0:00,-3,Australia,4630
Twitter,24/12/2014 0:00,-18,India,9771
Twitter,24/12/2014 0:00,-340,Indonesia,103680
Twitter,24/12/2014 0:00,1,Malaysia,4485
Twitter,24/12/2014 0:00,1,New Zealand,4874
Twitter,24/12/2014 0:00,-3,Philippines,2549
Twitter,24/12/2014 0:00,-1,Singapore,314
Facebook,25/12/2014 0:00,6,Australia,111826
Facebook,25/12/2014 0:00,244,India,340003
Facebook,25/12/2014 0:00,17,Indonesia,289017
Facebook,25/12/2014 0:00,39,Malaysia,210629
Facebook,25/12/2014 0:00,23,New Zealand,28216
Facebook,25/12/2014 0:00,10,Philippines,50490
Facebook,25/12/2014 0:00,4,Singapore,86475
Instagram,25/12/2014 0:00,15,Australia,16849
Instagram,25/12/2014 0:00,45,India,13930
Instagram,25/12/2014 0:00,67,Indonesia,36751
Instagram,25/12/2014 0:00,13,Malaysia,7937
Instagram,25/12/2014 0:00,6,New Zealand,1626
Instagram,25/12/2014 0:00,10,Singapore,3966
Twitter,25/12/2014 0:00,5,Australia,4635
Twitter,25/12/2014 0:00,34,India,9805
Twitter,25/12/2014 0:00,18,Indonesia,103698
Twitter,25/12/2014 0:00,1,Malaysia,4486
Twitter,25/12/2014 0:00,-1,New Zealand,4873
Twitter,25/12/2014 0:00,-1,Philippines,2548
Twitter,25/12/2014 0:00,0,Singapore,314
Facebook,26/12/2014 0:00,138,Australia,111964
Facebook,26/12/2014 0:00,232,India,340235
Facebook,26/12/2014 0:00,42,Indonesia,289059
Facebook,26/12/2014 0:00,27,Malaysia,210656
Facebook,26/12/2014 0:00,55,New Zealand,28271
Facebook,26/12/2014 0:00,22,Philippines,50512
Facebook,26/12/2014 0:00,9,Singapore,86484
Instagram,26/12/2014 0:00,19,Australia,16868
Instagram,26/12/2014 0:00,10,India,13940
Instagram,26/12/2014 0:00,45,Indonesia,36796
Instagram,26/12/2014 0:00,10,Malaysia,7947
Instagram,26/12/2014 0:00,8,New Zealand,1634
Instagram,26/12/2014 0:00,4,Singapore,3970
Twitter,26/12/2014 0:00,1,Australia,4636
Twitter,26/12/2014 0:00,13,India,9818
Twitter,26/12/2014 0:00,21,Indonesia,103719
Twitter,26/12/2014 0:00,0,Malaysia,4486
Twitter,26/12/2014 0:00,1,New Zealand,4874
Twitter,26/12/2014 0:00,1,Philippines,2549
Twitter,26/12/2014 0:00,-2,Singapore,312
Facebook,27/12/2014 0:00,250,Australia,112214
Facebook,27/12/2014 0:00,219,India,340454
Facebook,27/12/2014 0:00,32,Indonesia,289091
Facebook,27/12/2014 0:00,30,Malaysia,210686
Facebook,27/12/2014 0:00,91,New Zealand,28362
Facebook,27/12/2014 0:00,22,Philippines,50534
Facebook,27/12/2014 0:00,3,Singapore,86487
Instagram,27/12/2014 0:00,55,Australia,16923
Instagram,27/12/2014 0:00,114,India,14054
Instagram,27/12/2014 0:00,50,Indonesia,36846
Instagram,27/12/2014 0:00,17,Malaysia,7964
Instagram,27/12/2014 0:00,11,New Zealand,1645
Instagram,27/12/2014 0:00,2,Singapore,3972
Twitter,27/12/2014 0:00,1,Australia,4637
Twitter,27/12/2014 0:00,7,India,9825
Twitter,27/12/2014 0:00,39,Indonesia,103758
Twitter,27/12/2014 0:00,4,Malaysia,4490
Twitter,27/12/2014 0:00,-1,New Zealand,4873
Twitter,27/12/2014 0:00,1,Philippines,2550
Twitter,27/12/2014 0:00,-1,Singapore,311
Facebook,28/12/2014 0:00,299,Australia,112513
Facebook,28/12/2014 0:00,212,India,340666
Facebook,28/12/2014 0:00,30,Indonesia,289121
Facebook,28/12/2014 0:00,31,Malaysia,210717
Facebook,28/12/2014 0:00,64,New Zealand,28426
Facebook,28/12/2014 0:00,22,Philippines,50556
Facebook,28/12/2014 0:00,8,Singapore,86495
Instagram,28/12/2014 0:00,15,Australia,16938
Instagram,28/12/2014 0:00,68,India,14122
Instagram,28/12/2014 0:00,55,Indonesia,36901
Instagram,28/12/2014 0:00,15,Malaysia,7979
Instagram,28/12/2014 0:00,0,New Zealand,1645
Instagram,28/12/2014 0:00,1,Singapore,3973
Twitter,28/12/2014 0:00,1,Australia,4638
Twitter,28/12/2014 0:00,10,India,9835
Twitter,28/12/2014 0:00,36,Indonesia,103794
Twitter,28/12/2014 0:00,2,Malaysia,4492
